"","Irrigation","Yield","simulation"
"1",2.00000003,255.3586176,"V0F0G0"
"2",507.2726002,5758.396247,"V100F100G100"
"3",47.6,287.4891427,"V10F10G10"
"4",96.45451999,364.7137744,"V20F20G20"
"5",144.6817801,691.4834437,"V30F30G30"
"6",192.90904,1159.87979,"V40F40G40"
"7",241.1363001,1746.855449,"V50F50G50"
"8",304.3635602,2435.355227,"V60F60G60"
"9",355.0908198,3017.234378,"V70F70G70"
"10",405.8180799,3687.824525,"V80F80G80"
"11",456.5453401,4744.445678,"V90F90G90"
