"","Irrigation","Yield","simulation"
"1",51.80000003,1030.136658,"V0F0G0"
"2",507.2726002,5758.396247,"V100F100G100"
"3",92.6,1058.250887,"V10F10G10"
"4",136.45452,1139.314886,"V20F20G20"
"5",179.6817801,1453.072179,"V30F30G30"
"6",222.90904,1865.85483,"V40F40G40"
"7",266.1363001,2419.413796,"V50F50G50"
"8",324.3635602,2990.366682,"V60F60G60"
"9",370.0908198,3476.207079,"V70F70G70"
"10",415.8180799,4008.005359,"V80F80G80"
"11",461.5453401,4906.880239,"V90F90G90"
