Simulation,Year,FracSim,IrrigationAppliedMM,IrrigationAppliedFT,Yield,FracTotaltIrr,PrecipPlusIrrigationMM,PrecipPlusIrrigationFT,FracIrrPlusPrecip,FracYield,LeasedWaterMM,LeasedWaterFT,crop
Envelope,2014,10,422.2726002,1.385408838,4655.89366,0.757748721,422.2726002,1.385408838,0.757748721,0.766672684,135,0.4429134,wheat
Envelope,2014,0,407.8726002,1.338164742,4479.025167,0.731908585,407.8726002,1.338164742,0.731908585,0.737548255,149.4,0.490157496,wheat
Envelope,2014,70,405.0908198,1.329038165,3915.589819,0.726916808,405.0908198,1.329038165,0.726916808,0.644768969,152.1817804,0.499284072,wheat
Envelope,2014,60,354.3635602,1.162610143,3229.687073,0.635889078,354.3635602,1.162610143,0.635889078,0.531823327,202.90904,0.665712095,wheat
Envelope,2014,50,303.6363001,0.996182119,2542.458113,0.544861348,303.6363001,0.996182119,0.544861348,0.418659301,253.6363001,0.832140119,wheat
Envelope,2014,40,242.90904,0.796945695,1925.163617,0.435889078,242.90904,0.796945695,0.435889078,0.317011183,314.3635602,1.031376543,wheat
Envelope,2014,30,194.6817801,0.638719771,1481.698748,0.349347483,194.6817801,0.638719771,0.349347483,0.243987092,362.5908201,1.189602466,wheat
Envelope,2014,20,146.45452,0.480493847,1139.151053,0.262805887,146.45452,0.480493847,0.262805887,0.187580744,410.8180802,1.34782839,wheat
Envelope,2014,10,97.6,0.320209984,1058.040167,0.175138702,97.6,0.320209984,0.175138702,0.174224446,459.6726002,1.508112254,wheat
Envelope,2014,0,52.00000003,0.17060368,1030.275373,0.093311604,52.00000003,0.17060368,0.093311604,0.169652497,505.2726002,1.657718558,wheat
Envelope,2015,100,532.4456301,1.746868921,6535.591667,1,532.4456301,1.746868921,1,1,0,0,wheat
Envelope,2015,90,517.4456301,1.697656321,6514.00821,0.971828109,517.4456301,1.697656321,0.971828109,0.996697551,15,0.0492126,wheat
Envelope,2015,80,502.4456301,1.648443721,6492.455218,0.943656219,502.4456301,1.648443721,0.943656219,0.993399764,30,0.0984252,wheat
Envelope,2015,70,487.4456301,1.599231121,6393.774343,0.915484328,487.4456301,1.599231121,0.915484328,0.978300767,45,0.1476378,wheat
Envelope,2015,60,472.4456301,1.550018521,6252.748525,0.887312438,472.4456301,1.550018521,0.887312438,0.956722642,60,0.1968504,wheat
Envelope,2015,50,457.4456301,1.500805921,6077.837552,0.859140547,457.4456301,1.500805921,0.859140547,0.929959805,75,0.246063,wheat
Envelope,2015,40,442.4456301,1.451593321,5789.209976,0.830968657,442.4456301,1.451593321,0.830968657,0.88579738,90,0.2952756,wheat
Envelope,2015,30,427.4456301,1.402380721,5507.083773,0.802796766,427.4456301,1.402380721,0.802796766,0.842629719,105,0.3444882,wheat
Envelope,2015,20,412.4456301,1.353168121,5247.711209,0.774624876,412.4456301,1.353168121,0.774624876,0.802943555,120,0.3937008,wheat
Envelope,2015,10,397.4456301,1.303955521,4981.006929,0.746452985,397.4456301,1.303955521,0.746452985,0.762135577,135,0.4429134,wheat
Envelope,2015,0,383.0456301,1.256711425,4774.461766,0.71940797,383.0456301,1.256711425,0.71940797,0.730532446,149.4,0.490157496,wheat
Envelope,2015,60,339.46738,1.113738159,3555.058072,0.637562524,339.46738,1.113738159,0.637562524,0.543953517,192.9782501,0.633130762,wheat
Envelope,2015,50,291.22281,0.955455444,2624.247735,0.546953141,291.22281,0.955455444,0.546953141,0.401531777,241.2228201,0.791413477,wheat
Envelope,2015,40,242.97825,0.797172762,1949.782407,0.456343777,242.97825,0.797172762,0.456343777,0.29833296,289.4673801,0.949696159,wheat
Envelope,2015,30,194.73369,0.638890079,1452.541154,0.365734413,194.73369,0.638890079,0.365734413,0.222250904,337.7119401,1.107978842,wheat
Envelope,2015,20,146.48913,0.480607397,959.0410666,0.275125049,146.48913,0.480607397,0.275125049,0.146741277,385.9565001,1.266261524,wheat
Envelope,2015,10,97.6,0.320209984,898.172885,0.183305101,97.6,0.320209984,0.183305101,0.137427938,434.8456301,1.426658937,wheat
Envelope,2015,0,52.00000003,0.17060368,877.2132628,0.097662554,52.00000003,0.17060368,0.097662554,0.134220941,480.4456301,1.576265241,wheat
Envelope,2016,100,432.4456301,1.418784921,6798.36204,1,432.4456301,1.418784921,1,1,0,0,wheat
Envelope,2016,90,419.9456301,1.377774421,6782.540517,0.971094632,419.9456301,1.377774421,0.971094632,0.997672745,12.5,0.0410105,wheat
Envelope,2016,80,407.4456301,1.336763921,6775.691095,0.942189264,407.4456301,1.336763921,0.942189264,0.996665234,25,0.082021,wheat
Envelope,2016,70,394.9456301,1.295753421,6728.959499,0.913283897,394.9456301,1.295753421,0.913283897,0.989791285,37.5,0.1230315,wheat
Envelope,2016,60,382.4456301,1.254742921,6620.624036,0.884378529,382.4456301,1.254742921,0.884378529,0.973855761,50,0.164042,wheat
Envelope,2016,50,369.9456301,1.213732421,6517.220781,0.855473161,369.9456301,1.213732421,0.855473161,0.958645736,62.5,0.2050525,wheat
Envelope,2016,40,357.4456301,1.172721921,6355.136743,0.826567793,357.4456301,1.172721921,0.826567793,0.934804105,75,0.246063,wheat
Envelope,2016,30,344.9456301,1.131711421,6119.723545,0.797662425,344.9456301,1.131711421,0.797662425,0.900176176,87.5,0.2870735,wheat
Envelope,2016,20,332.4456301,1.090700921,5850.426004,0.768757057,332.4456301,1.090700921,0.768757057,0.860564055,100,0.328084,wheat
Envelope,2016,10,319.9456301,1.049690421,5640.292777,0.73985169,319.9456301,1.049690421,0.73985169,0.829654664,112.5,0.3690945,wheat
Envelope,2016,0,307.9456301,1.010320341,5384.51083,0.712102537,307.9456301,1.010320341,0.712102537,0.792030609,124.5,0.40846458,wheat
Envelope,2016,60,279.46738,0.916887759,4164.36403,0.646248593,279.46738,0.916887759,0.646248593,0.612554025,152.9782501,0.501897162,wheat
Envelope,2016,50,241.22281,0.791413444,3525.903129,0.557810724,241.22281,0.791413444,0.557810724,0.518640094,191.2228201,0.627371477,wheat
Envelope,2016,40,202.97825,0.665939162,2864.368559,0.469372878,202.97825,0.665939162,0.469372878,0.421332159,229.4673801,0.752845759,wheat
Envelope,2016,30,164.73369,0.540464879,2132.325029,0.380935032,164.73369,0.540464879,0.380935032,0.313652762,267.7119401,0.878320042,wheat
Envelope,2016,20,126.48913,0.414990597,1786.439138,0.292497186,126.48913,0.414990597,0.292497186,0.262774934,305.9565001,1.003794324,wheat
Envelope,2016,10,87.6,0.287401584,1679.036261,0.202568818,87.6,0.287401584,0.202568818,0.246976588,344.8456301,1.131383337,wheat
Envelope,2016,0,51.60000002,0.169291344,1667.357481,0.119321358,51.60000002,0.169291344,0.119321358,0.245258707,380.8456301,1.249493577,wheat
Envelope,2017,100,457.38873,1.500619241,5901.562068,1,457.38873,1.500619241,1,1,0,0,wheat
Envelope,2017,90,444.88873,1.459608741,5892.604485,0.972670949,444.88873,1.459608741,0.972670949,0.998482167,12.5,0.0410105,wheat
Envelope,2017,80,432.38873,1.418598241,5834.915234,0.945341898,432.38873,1.418598241,0.945341898,0.988706916,25,0.082021,wheat
Envelope,2017,70,419.88873,1.377587741,5754.479281,0.918012847,419.88873,1.377587741,0.918012847,0.975077313,37.5,0.1230315,wheat
Envelope,2017,60,407.38873,1.336577241,5644.831714,0.890683795,407.38873,1.336577241,0.890683795,0.956497898,50,0.164042,wheat
Envelope,2017,50,394.88873,1.295566741,5490.643806,0.863354744,394.88873,1.295566741,0.863354744,0.930371272,62.5,0.2050525,wheat
Envelope,2017,40,382.38873,1.254556241,5293.136049,0.836025693,382.38873,1.254556241,0.836025693,0.896904241,75,0.246063,wheat
Envelope,2017,30,369.88873,1.213545741,5085.065564,0.808696642,369.88873,1.213545741,0.808696642,0.861647392,87.5,0.2870735,wheat
Envelope,2017,20,357.38873,1.172535241,4858.561375,0.781367591,357.38873,1.172535241,0.781367591,0.823267013,100,0.328084,wheat
Envelope,2017,10,344.88873,1.131524741,4634.440122,0.75403854,344.88873,1.131524741,0.75403854,0.785290414,112.5,0.3690945,wheat
Envelope,2017,0,332.8887301,1.092154661,4493.448816,0.727802651,332.8887301,1.092154661,0.727802651,0.761399908,124.4999999,0.40846458,wheat
Envelope,2017,60,294.4332399,0.965988351,3873.063641,0.643726486,294.4332399,0.965988351,0.643726486,0.65627771,162.9554901,0.53463089,wheat
Envelope,2017,50,253.69437,0.832330637,3351.777901,0.554658113,253.69437,0.832330637,0.554658113,0.567947581,203.69436,0.668288604,wheat
Envelope,2017,40,212.9554901,0.69867289,2725.414851,0.465589719,212.9554901,0.69867289,0.465589719,0.461812452,244.4332399,0.801946351,wheat
Envelope,2017,30,172.21662,0.565015176,2249.725933,0.376521345,172.21662,0.565015176,0.376521345,0.381208552,285.17211,0.935604065,wheat
Envelope,2017,20,131.4777499,0.431357461,1676.792272,0.287452972,131.4777499,0.431357461,0.287452972,0.284126855,325.9109801,1.06926178,wheat
Envelope,2017,10,90.1,0.295603684,1553.814571,0.196987801,90.1,0.295603684,0.196987801,0.263288694,367.28873,1.205015557,wheat
Envelope,2017,0,51.70000003,0.169619428,1549.159622,0.113032956,51.70000003,0.169619428,0.113032956,0.262499929,405.68873,1.330999813,wheat
Envelope,2018,100,457.4456301,1.500805921,6672.954606,1,457.4456301,1.500805921,1,1,0,0,wheat
Envelope,2018,90,439.9456301,1.443391221,6655.884912,0.961744087,439.9456301,1.443391221,0.961744087,0.997441959,17.5,0.0574147,wheat
Envelope,2018,80,422.4456301,1.385976521,6626.808884,0.923488175,422.4456301,1.385976521,0.923488175,0.993084664,35,0.1148294,wheat
Envelope,2018,70,404.9456301,1.328561821,6448.749436,0.885232262,404.9456301,1.328561821,0.885232262,0.966400915,52.5,0.1722441,wheat
Envelope,2018,60,387.4456301,1.271147121,6171.135933,0.84697635,387.4456301,1.271147121,0.84697635,0.924798129,70,0.2296588,wheat
Envelope,2018,50,369.9456301,1.213732421,5873.414028,0.808720437,369.9456301,1.213732421,0.808720437,0.880181925,87.5,0.2870735,wheat
Envelope,2018,40,352.4456301,1.156317721,5536.967618,0.770464525,352.4456301,1.156317721,0.770464525,0.829762518,105,0.3444882,wheat
Envelope,2018,30,334.9456301,1.098903021,5137.502808,0.732208612,334.9456301,1.098903021,0.732208612,0.769899259,122.5,0.4019029,wheat
Envelope,2018,20,317.4456301,1.041488321,4784.839839,0.6939527,317.4456301,1.041488321,0.6939527,0.717049661,140,0.4593176,wheat
Envelope,2018,10,299.9456301,0.984073621,4442.952101,0.655696787,299.9456301,0.984073621,0.655696787,0.665814825,157.5,0.5167323,wheat
Envelope,2018,0,283.1456301,0.928955509,4223.990387,0.618971111,283.1456301,0.928955509,0.618971111,0.633001517,174.3,0.571850412,wheat
Envelope,2018,50,241.22281,0.791413444,3225.281663,0.527325641,241.22281,0.791413444,0.527325641,0.483336371,216.2228201,0.709392477,wheat
Envelope,2018,40,197.97825,0.649534962,2675.317322,0.432790778,197.97825,0.649534962,0.432790778,0.400919455,259.4673801,0.851270959,wheat
Envelope,2018,30,154.73369,0.507656479,2014.50079,0.338255915,154.73369,0.507656479,0.338255915,0.301890378,302.7119401,0.993149442,wheat
Envelope,2018,20,111.48913,0.365777997,1321.387928,0.243721052,111.48913,0.365777997,0.243721052,0.198021417,345.9565001,1.135027924,wheat
Envelope,2018,10,67.6,0.221784784,1276.733059,0.147777125,67.6,0.221784784,0.147777125,0.191329499,389.8456301,1.279021137,wheat
Envelope,2018,0,26.80000003,0.087926512,1255.66094,0.058586197,26.80000003,0.087926512,0.058586197,0.188171659,430.6456301,1.412879409,wheat
