"Maxprof_w","pc","pw","TotRevDeficitAndLease","TotRevAllFallow","TotRevAllCrop","Bestalternative","AddlRevFromDL","optimalirrigation","optimallease","production","production_lost","crop","optimalleasepercentage","productionlostepercentage"
484.5,0.1,0,1251.078207325,777.26,1251.078207325,1251.078207325,0,484.5,0,12510.78207325,0,"corn",0,0
484,0.1,0.01,1251.0801616,782.105,1251.078207325,1251.078207325,0.00195427499966172,484,0.5,12510.751616,0.0304572500026552,"corn",0.103199174406605,0.000243448010079062
484,0.1,0.02,1251.0851616,786.95,1251.078207325,1251.078207325,0.00695427499954349,484,0.5,12510.751616,0.0304572500026552,"corn",0.103199174406605,0.000243448010079062
483.5,0.1,0.03,1251.093906275,791.795,1251.078207325,1251.078207325,0.0156989499992051,483.5,1,12510.63906275,0.143010500007222,"corn",0.206398348813209,0.00114309800274597
483,0.1,0.04,1251.1044598,796.64,1251.078207325,1251.078207325,0.0262524749996373,483,1.5,12510.444598,0.337475250002171,"corn",0.309597523219814,0.00269747524995856
483,0.1,0.05,1251.1194598,801.485,1251.078207325,1251.078207325,0.0412524749997374,483,1.5,12510.444598,0.337475250002171,"corn",0.309597523219814,0.00269747524995856
482.5,0.1,0.06,1251.136840625,806.33,1251.078207325,1251.078207325,0.0586333000001105,482.5,2,12510.16840625,0.613666999997804,"corn",0.412796697626419,0.00490510502384915
482.5,0.1,0.07,1251.156840625,811.175,1251.078207325,1251.078207325,0.0786333000003197,482.5,2,12510.16840625,0.613666999997804,"corn",0.412796697626419,0.00490510502384915
482,0.1,0.08,1251.1810672,816.02,1251.078207325,1251.078207325,0.102859874999922,482,2.5,12509.810672,0.971401250000781,"corn",0.515995872033024,0.00776451259652095
481.5,0.1,0.09,1251.207157975,820.865,1251.078207325,1251.078207325,0.128950649999979,481.5,3,12509.37157975,1.41049349999957,"corn",0.619195046439629,0.0112742232399318
481.5,0.1,0.1,1251.237157975,825.71,1251.078207325,1251.078207325,0.158950649999952,481.5,3,12509.37157975,1.41049349999957,"corn",0.619195046439629,0.0112742232399318
481,0.1,0.11,1251.2701314,830.555,1251.078207325,1251.078207325,0.191924074999861,481,3.5,12508.851314,1.93075925000085,"corn",0.722394220846233,0.015432762226185
481,0.1,0.12,1251.3051314,835.4,1251.078207325,1251.078207325,0.226924074999943,481,3.5,12508.851314,1.93075925000085,"corn",0.722394220846233,0.015432762226185
480.5,0.1,0.13,1251.345005925,840.245,1251.078207325,1251.078207325,0.266798599999902,480.5,4,12508.25005925,2.53201400000034,"corn",0.825593395252838,0.0202386548272964
480,0.1,0.14,1251.3868,845.09,1251.078207325,1251.078207325,0.308592675000227,480,4.5,12507.568,3.21407324999745,"corn",0.928792569659443,0.0256904263153112
480,0.1,0.15,1251.4318,849.935,1251.078207325,1251.078207325,0.353592675000073,480,4.5,12507.568,3.21407324999745,"corn",0.928792569659443,0.0256904263153112
479.5,0.1,0.16,1251.480532075,854.78,1251.078207325,1251.078207325,0.402324749999707,479.5,5,12506.80532075,3.97675250000248,"corn",1.03199174406605,0.0317866019623617
479,0.1,0.17,1251.5312206,859.625,1251.078207325,1251.078207325,0.453013274999876,479,5.5,12505.962206,4.81986725000024,"corn",1.13519091847265,0.0385257070403765
479,0.1,0.18,1251.5862206,864.47,1251.078207325,1251.078207325,0.508013274999939,479,5.5,12505.962206,4.81986725000024,"corn",1.13519091847265,0.0385257070403765
478.5,0.1,0.19,1251.643884025,869.315,1251.078207325,1251.078207325,0.565676699999813,478.5,6,12505.03884025,5.74323300000106,"corn",1.23839009287926,0.0459062668214882
478.5,0.1,0.2,1251.703884025,874.16,1251.078207325,1251.078207325,0.625676699999758,478.5,6,12505.03884025,5.74323300000106,"corn",1.23839009287926,0.0459062668214882
