"","Irrigation","Yield","simulation"
"1",357.8726002,4010.477447,"V100F100G0"
"2",372.2726002,4099.7655,"V100F100G10"
"3",507.2726002,5758.396247,"V100F100G100"
"4",387.2726002,4320.127962,"V100F100G20"
"5",402.2726002,4563.460012,"V100F100G30"
"6",417.2726002,4771.912017,"V100F100G40"
"7",432.2726002,4956.737958,"V100F100G50"
"8",447.2726002,5115.910594,"V100F100G60"
"9",462.2726002,5293.58326,"V100F100G70"
"10",477.2726002,5476.765276,"V100F100G80"
"11",492.2726002,5632.592809,"V100F100G90"
