"","Irrigation","Yield","simulation"
"1",208.4726002,506.1020699,"V100F100G0"
"2",237.2726002,726.4893919,"V100F100G10"
"3",507.2726002,5758.396247,"V100F100G100"
"4",267.2726002,845.043909,"V100F100G20"
"5",297.2726002,1186.359214,"V100F100G30"
"6",327.2726002,1717.62185,"V100F100G40"
"7",357.2726002,2277.821413,"V100F100G50"
"8",387.2726002,2921.035317,"V100F100G60"
"9",417.2726002,3918.48181,"V100F100G70"
"10",447.2726002,4610.902865,"V100F100G80"
"11",477.2726002,5286.225647,"V100F100G90"
