"","Irrigation","Yield","simulation"
"1",2.00000003,3.855607179,"V0F0G0"
"2",481.3239002,12050.34367,"V100F100G100"
"3",47.6,3.413059031,"V10F10G10"
"4",96.26478004,11.37469662,"V20F20G20"
"5",144.3971699,281.2321673,"V30F30G30"
"6",192.5295601,1493.727568,"V40F40G40"
"7",240.6619501,3581.378353,"V50F50G50"
"8",288.7943399,5654.05317,"V60F60G60"
"9",336.9267302,8019.032789,"V70F70G70"
"10",385.0591202,10421.01319,"V80F80G80"
"11",433.1915102,11950.85969,"V90F90G90"
